Место;Координаты;Год;Что измеряем; Значение
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2011;Температура воды, град.;11,9
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2011;Взвешенные вещества, мг/л;112,3
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2011;Цветность, град.;5
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2011;pH;8,1
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2011;Кислород;9,47
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2011;Сульфаты;35,5
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2011;Хлориды;9
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2011;Сумма ионов (минерализация) , мг/л;198
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2011;Общая жесткость, ммоль/л;2,89
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2011;Азот нитритный, мг/л;0,006
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2011;Азот нитратный, мг/л;0,79
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2011;ВПК 5, мг/л;0,62
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2011;Нефтепродукты, мг/л;0,01
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2012;Температура воды, град.;12
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2012;Взвешенные вещества, мг/л;17,7
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2012;Цветность, град.;4
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2012;pH;8,18
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2012;Кислород;9,72
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2012;Сульфаты;54,5
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2012;Хлориды;10,6
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2012;Сумма ионов (минерализация) , мг/л;226
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2012;Общая жесткость, ммоль/л;2,9
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2012;Азот нитритный, мг/л;0,004
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2012;Азот нитратный, мг/л;0,65
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2012;ВПК 5, мг/л;0,64
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2012;Нефтепродукты, мг/л;0,02
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2013;Температура воды, град.;10,2
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2013;Взвешенные вещества, мг/л;50,8
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2013;Цветность, град.;4
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2013;pH;8,18
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2013;Кислород;10,32
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2013;Сульфаты;44,6
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2013;Хлориды;9,2
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2013;Сумма ионов (минерализация) , мг/л;206
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2013;Общая жесткость, ммоль/л;2,83
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2013;Азот нитритный, мг/л;0,004
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2013;Азот нитратный, мг/л;0,65
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2013;ВПК 5, мг/л;0,64
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2013;Нефтепродукты, мг/л;0,01
