id,title,address,phone,district_id
1,Учебно-воспитательный комплекс с гимназическим образованием  № 9,"Молодая Гвардия, 68",64-59-17/20 64-32-07 (0517)23-04-75 ,1
2,Школа-комплекс лицей № 13,"Московская, 174 ","+(996 312)318801/38,+(996 312)318754, +(996 555)518858 ",1
3,Специальная (вспомогательная школа № 22)," Интергельпо, 10","+(996 312)653716, +(996 772)169149 ",1
4,Средняя общеобразовательная школа № 25,"Гагарина, 2","+(996 312)541420, +(996 555)249821  ",1
5,Общеобразовательная школа – гимназия № 31," Павлова, 14","+(996 312)643038,+(996 312)642807, +(996 555)904641 ",1
6,Средняя общеобразовательная школа № 40,"Каховская, 7",+(996 312)417506 ,1
7,Средняя общеобразовательная школа № 42,"Алыкула, 1","+(996 312)451029, + (996 555)070253 ",1
8,Средняя общеобразовательная школа № 47,"Целинная, 16","+(996 312)544988,+(996 312)544989, +(996 772)412103 ",1
9,Средняя общеобразовательная школа № 50,"Мессароша, 3","+(996 312)655799, +(996 772)341199 ",1
10,Средняя общеобразовательная школа № 44," Кривоносова, 11","+(996 312)35-12-37, +(996 555)34-21-94, ",1
11,Средняя общеобразовательная школа № 55,Гагарина 166,"+(996 312)492277,+(996 773)964673 ",1
12,Средняя общеобразовательная школа № 57,"Интергельпо 2,720054","+(996 312)653736,+(996 312) 653706,+(996 545)951415 ",1
13,Средняя общеобразовательная школа № 59,Лущихина 35,"+(996 312)647899,+(996 312)648331, +(996 772)248787 ",1
14,Учебно-воспитательный комплекс гимназия № 68,Токтогула 220,"+(996 312)454463,+(996 312)454529 ",1
15,Средняя общеобразовательная школа-лицей № 74,"Ремесленная 94,720007","+(996 312)350816,+(996 312)350171, +(996 515)775839 ",1
16,Средняя общеобразовательная школа № 77,Ашар 4.720077,+(996 312)412266 ,1
17,Средняя школа Арча Бешик № 79,"Садыбакасова-Эртайлак, 720047","+(996 312)493026, +(996 543)971168 ",1
18,Средняя общеобразовательная школа № 80,"мкрн.Джал 29 дом 8, 720038","+(996 312)493026, +(996 543)971168 ",1
19,Средняя школа № 82,"Ала Тоо, 51/1, 720043","+(996 312)419051(48,49),+(996 543)987069 ",1
20,Начальная школа № 84,"Ак-Орго, Ашар б/н, 720077","+(996 312)410137(36),+(996 772)456681 ",1
